PERIODO,FACULTAD,PROGRAMA,GENERO,FORMACION,VINCULACION,DEDICACION,CARGO,CATEGORIA
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CONTRATO,Tiempo Completo,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Mujer,ESPECIALIZACION,CONTRATO,Tiempo Completo,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CONTRATO,Tiempo Completo,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CONTRATO,Tiempo Completo,DOCENTE,ASOCIADO
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,PREGRADO,CONTRATO,Tiempo Completo,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,40,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,40,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,40,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,204,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,272,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,20,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,20,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,150,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,40,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,110,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,130,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,270,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,PREGRADO,CATEDRÁTICOS,128,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,40,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,20,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,40,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,80,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,60,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,100,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,170,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,ESPECIALIZACION,CATEDRÁTICOS,80,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,90,DOCENTE,ASOCIADO
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,120,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,110,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,60,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,PREGRADO,CATEDRÁTICOS,110,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,50,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,80,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Hombre,MAESTRIA,CATEDRÁTICOS,210,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Mujer,MAESTRIA,CATEDRÁTICOS,96,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Mujer,MAESTRIA,CATEDRÁTICOS,190,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Mujer,MAESTRIA,CATEDRÁTICOS,230,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Mujer,MAESTRIA,CATEDRÁTICOS,20,DOCENTE,AUXILIAR
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Mujer,ESPECIALIZACION,CATEDRÁTICOS,168,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Mujer,MAESTRIA,CATEDRÁTICOS,60,DOCENTE,ASISTENTE
2019-2,CIENCIAS ECONOMICAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACION DE NEGOCIOS DISTANCIA,Mujer,MAESTRIA,CATEDRÁTICOS,40,DOCENTE,AUXILIAR
